ts,humidity,temperature
1761322703.5689912,57.55382537841797,21.32563018798828
1761322704.5708132,57.506141662597656,21.330970764160156
1761322705.5712025,57.48516082763672,21.33631134033203
1761322706.6910195,57.435569763183594,21.32563018798828
1761322707.5611296,57.40314483642578,21.309608459472656
1761322708.5677602,57.39551544189453,21.312278747558594
1761322710.5579822,57.3707160949707,21.32563018798828
1761322711.7572672,57.3401985168457,21.32830047607422
1761322709.8855202,57.3707160949707,
1761322712.5661576,57.34401321411133,21.344322204589844
1761322713.6692905,57.334476470947266,21.322959899902344
1761322714.5659628,57.27725601196289,21.330970764160156
1761322715.6661022,57.296329498291016,21.333641052246094
1761322716.5732732,57.28297805786133,21.33631134033203
1761322717.6793623,57.29251480102539,21.32830047607422
1761322718.5577931,57.29823684692383,21.341651916503906
1761322719.769139,57.29251480102539,21.33631134033203
1761322720.5643,57.25627517700195,21.31494903564453
1761322721.7712924,57.29823684692383,21.330970764160156
1761322722.5649283,57.28679275512695,21.322959899902344
1761322723.6023302,57.334476470947266,21.320289611816406
1761322724.662206,57.33066177368164,21.31494903564453
1761322726.5635867,57.33066177368164,21.320289611816406
1761322727.7656486,57.32112503051758,21.33631134033203
1761322726.016348,57.3401985168457,
1761322728.5666306,57.31540298461914,21.312278747558594
1761322729.6676347,57.33829116821289,21.31761932373047
1761322730.5742974,57.32112503051758,21.34699249267578
1761322731.6738052,57.31731033325195,21.32830047607422
1761322732.5636888,57.33066177368164,21.322959899902344
1761322733.5594833,57.32875442504883,21.33898162841797
1761322734.7828765,57.334476470947266,21.32563018798828
1761322735.5669005,57.30777359008789,21.322959899902344
1761322736.7722614,57.31540298461914,21.330970764160156
1761322737.5687,57.33066177368164,21.322959899902344
1761322738.6777956,57.326847076416016,21.32563018798828
1761322739.5644045,57.29060745239258,21.309608459472656
1761322740.91478,57.32875442504883,21.32563018798828
1761322741.5629187,57.34782791137695,21.330970764160156
1761322742.7867897,57.29060745239258,21.301597595214844
1761322743.574244,57.32303237915039,21.330970764160156
1761322744.6073334,57.30777359008789,21.309608459472656
1761322745.5626874,57.29251480102539,21.32563018798828
1761322746.5789204,57.31540298461914,21.352333068847656
1761322747.5586836,57.33829116821289,21.31494903564453
1761322748.7816164,57.357364654541016,21.32830047607422
1761322749.5731075,57.31540298461914,21.34966278076172
1761322750.6925046,57.326847076416016,21.32563018798828
1761322751.5682538,57.32112503051758,21.33898162841797
1761322752.600248,57.30777359008789,21.322959899902344
1761322753.6621447,57.30014419555664,21.32830047607422
1761322754.5590377,57.296329498291016,21.33631134033203
1761322755.6777627,57.29251480102539,21.344322204589844
1761322756.559371,57.32303237915039,21.32563018798828
1761322757.7002714,57.29060745239258,21.32830047607422
1761322758.5576842,57.30014419555664,21.31494903564453
1761322759.6648989,57.29060745239258,21.320289611816406
1761322760.5683064,57.235294342041016,21.32563018798828
1761322761.761765,57.26199722290039,21.32563018798828
1761322762.5605676,57.25246047973633,21.32830047607422
1761322763.6340876,57.23147964477539,21.32563018798828
1761322764.5601366,57.26771926879883,21.320289611816406
1761322765.7595985,57.2486457824707,21.32563018798828
1761322766.5605307,57.24101638793945,21.32563018798828
1761322767.7782598,57.2333869934082,21.33631134033203
1761322768.5621371,57.23720169067383,21.333641052246094
1761322769.7219477,57.26771926879883,21.322959899902344
1761322770.5684752,57.24673843383789,21.32563018798828
1761322771.6764057,57.24101638793945,21.32830047607422
1761322772.569197,57.26008987426758,21.32830047607422
1761322773.564034,57.296329498291016,21.37102508544922
1761322774.766016,57.31349563598633,21.309608459472656
1761322775.5688658,57.33638381958008,21.33898162841797
1761322776.7565796,57.357364654541016,21.32563018798828
1761322777.6630692,57.349735260009766,21.32830047607422
1761322778.5647252,57.33256912231445,21.330970764160156
1761322779.690792,57.30205154418945,21.33631134033203
1761322780.563894,57.29251480102539,21.32563018798828
1761322781.7712536,57.296329498291016,21.352333068847656
1761322782.5701647,57.28679275512695,21.312278747558594
1761322783.5681846,57.250553131103516,21.33631134033203
1761322784.7657356,57.25436782836914,21.330970764160156
1761322785.565534,57.235294342041016,21.32563018798828
1761322786.564095,57.265811920166016,21.32563018798828
1761322787.7714458,57.235294342041016,21.32563018798828
1761322788.5595784,57.29823684692383,21.32830047607422
